Data,Ultimo,Abertura,Maxima,Minima
12/28/2018,"3,8804","3,8775","3,8956","3,8298"
12/27/2018,"3,8732","3,92","3,9461","3,8688"
12/26/2018,"3,9219","3,904","3,9416","3,8923"
12/25/2018,"3,9035","3,9035","3,9035","3,9035"
12/24/2018,"3,9035","3,904","3,904","3,904"
12/21/2018,"3,9039","3,8408","3,9078","3,8395"
12/20/2018,"3,8419","3,897","3,897","3,8331"
12/19/2018,"3,8976","3,902","3,914","3,8639"
12/18/2018,"3,9123","3,8979","3,9179","3,8841"
12/17/2018,"3,8994","3,9175","3,9294","3,8774"
12/14/2018,"3,917","3,9122","3,9219","3,8879"
12/13/2018,"3,891","3,8551","3,8977","3,8512"
12/12/2018,"3,8554","3,8948","3,9004","3,8364"
12/11/2018,"3,9039","3,9202","3,9232","3,8884"
12/10/2018,"3,9178","3,9075","3,946","3,8914"
12/07/2018,"3,9074","3,8817","3,9246","3,8576"
12/06/2018,"3,8779","3,8897","3,9436","3,8727"
12/05/2018,"3,8682","3,8527","3,8838","3,8346"
12/04/2018,"3,8524","3,8293","3,868","3,8179"
12/03/2018,"3,8408","3,8669","3,8669","3,8149"
11/30/2018,"3,8662","3,849","3,8888","3,8379"
11/29/2018,"3,8515","3,8506","3,8742","3,8325"
11/28/2018,"3,8508","3,8801","3,8883","3,8317"
11/27/2018,"3,875","3,9232","3,9249","3,8623"
11/26/2018,"3,9398","3,8187","3,9448","3,8171"
11/23/2018,"3,828","3,8045","3,8309","3,7952"
11/22/2018,"3,8033","3,7897","3,8264","3,7896"
11/21/2018,"3,7975","3,756","3,804","3,756"
11/20/2018,"3,7567","3,7559","3,7579","3,7559"
11/19/2018,"3,756","3,7473","3,7734","3,742"
11/16/2018,"3,7434","3,7732","3,7832","3,7301"
11/15/2018,"3,784","3,7843","3,7843","3,7843"
11/14/2018,"3,784","3,8032","3,8198","3,7666"
11/13/2018,"3,8031","3,7573","3,8318","3,7535"
11/12/2018,"3,7674","3,7498","3,7701","3,7364"
11/09/2018,"3,7334","3,761","3,7755","3,7257"
11/08/2018,"3,7604","3,7297","3,7647","3,7162"
11/07/2018,"3,7317","3,7618","3,788","3,7223"
11/06/2018,"3,7614","3,727","3,7707","3,7237"
11/05/2018,"3,726","3,6967","3,7331","3,6913"
11/02/2018,"3,6965","3,7044","3,7044","3,6965"
11/01/2018,"3,7","3,7222","3,723","3,6792"
10/31/2018,"3,7218","3,6976","3,7451","3,686"
10/30/2018,"3,6972","3,7175","3,7362","3,6774"
10/29/2018,"3,7179","3,643","3,7224","3,5817"
10/26/2018,"3,6426","3,7062","3,7305","3,6397"
10/25/2018,"3,7046","3,7351","3,7351","3,6812"
10/24/2018,"3,7335","3,6948","3,7469","3,682"
10/23/2018,"3,6932","3,6875","3,7233","3,6854"
10/22/2018,"3,6846","3,6946","3,7209","3,6693"
10/19/2018,"3,714","3,722","3,7268","3,6872"
10/18/2018,"3,7214","3,6875","3,7318","3,6729"
10/17/2018,"3,6873","3,7252","3,7462","3,6644"
10/16/2018,"3,7244","3,735","3,736","3,6913"
10/15/2018,"3,7355","3,7569","3,7649","3,7128"
10/12/2018,"3,7825","3,7835","3,7835","3,7826"
10/11/2018,"3,781","3,757","3,7863","3,7166"
10/10/2018,"3,7545","3,7156","3,7684","3,711"
10/09/2018,"3,7153","3,7826","3,7915","3,701"
10/08/2018,"3,7786","3,7284","3,7831","3,7096"
10/05/2018,"3,8406","3,8743","3,8953","3,8375"
10/04/2018,"3,8743","3,9018","3,936","3,8734"
10/03/2018,"3,9008","3,9411","3,9414","3,8221"
10/02/2018,"3,9404","4,018","4,0183","3,9053"
10/01/2018,"4,0176","4,0496","4,0637","4,0038"
09/28/2018,"4,0477","4,0136","4,0573","3,989"
09/27/2018,"4,012","4,0345","4,0556","3,9669"
09/26/2018,"4,031","4,0781","4,0941","4,009"
09/25/2018,"4,0751","4,0899","4,1421","4,068"
09/24/2018,"4,0914","4,0652","4,0968","4,0355"
09/21/2018,"4,0511","4,0772","4,0955","4,0276"
09/20/2018,"4,0766","4,1272","4,1316","4,0669"
09/19/2018,"4,1305","4,1626","4,1763","4,0971"
09/18/2018,"4,1596","4,1343","4,1648","4,1172"
09/17/2018,"4,1316","4,1737","4,2041","4,1154"
09/14/2018,"4,1739","4,2069","4,211","4,1582"
09/13/2018,"4,2067","4,1617","4,2096","4,1237"
09/12/2018,"4,1569","4,1526","4,1675","4,1102"
09/11/2018,"4,1527","4,0863","4,1798","4,0862"
09/10/2018,"4,0855","4,0679","4,1276","4,0516"
09/07/2018,"4,0594","4,0594","4,0594","4,0594"
09/06/2018,"4,0587","4,1448","4,1665","4,0362"
09/05/2018,"4,1457","4,1572","4,1862","4,1115"
09/04/2018,"4,16","4,1575","4,1916","4,1378"
09/03/2018,"4,1579","4,0921","4,1602","4,0911"
08/31/2018,"4,0545","4,149","4,1773","4,0527"
08/30/2018,"4,1493","4,1065","4,2151","4,1035"
08/29/2018,"4,1065","4,1391","4,1645","4,101"
08/28/2018,"4,1337","4,08","4,1475","4,0618"
08/27/2018,"4,0772","4,1066","4,1149","4,0473"
08/24/2018,"4,1012","4,114","4,1326","4,0718"
08/23/2018,"4,1145","4,0413","4,1281","4,04"
08/22/2018,"4,0415","4,0503","4,0912","4,0307"
08/21/2018,"4,0467","3,9697","4,0526","3,9553"
08/20/2018,"3,9692","3,9132","3,9716","3,9132"
08/17/2018,"3,9108","3,9072","3,9532","3,9041"
08/16/2018,"3,9059","3,9048","3,9296","3,8667"
08/15/2018,"3,9053","3,8672","3,928","3,8661"
08/14/2018,"3,8663","3,8842","3,9036","3,8586"
08/13/2018,"3,8836","3,8582","3,9294","3,8582"
08/10/2018,"3,8584","3,8016","3,8744","3,8005"
08/09/2018,"3,8007","3,772","3,8217","3,7714"
08/08/2018,"3,7713","3,7523","3,7733","3,7353"
08/07/2018,"3,7505","3,737","3,7719","3,7028"
08/06/2018,"3,7356","3,7053","3,737","3,6902"
08/03/2018,"3,707","3,7513","3,753","3,6996"
08/02/2018,"3,7496","3,7524","3,7822","3,7488"
08/01/2018,"3,7492","3,7566","3,7702","3,7311"
07/31/2018,"3,7557","3,7297","3,7645","3,7222"
07/30/2018,"3,7304","3,7147","3,7327","3,696"
07/27/2018,"3,7099","3,7457","3,7468","3,7058"
07/26/2018,"3,7454","3,6883","3,7483","3,688"
07/25/2018,"3,6877","3,748","3,7482","3,6887"
07/24/2018,"3,7471","3,7828","3,7869","3,7316"
07/23/2018,"3,7823","3,7659","3,8035","3,7659"
07/20/2018,"3,7671","3,8313","3,8313","3,7581"
07/19/2018,"3,829","3,8493","3,8927","3,8225"
07/18/2018,"3,8509","3,8385","3,8651","3,8192"
07/17/2018,"3,8375","3,863","3,8797","3,8379"
07/16/2018,"3,8597","3,8508","3,8739","3,8336"
07/13/2018,"3,8514","3,8826","3,9009","3,8445"
07/12/2018,"3,8809","3,8746","3,9028","3,8368"
07/11/2018,"3,8764","3,8167","3,8856","3,8134"
07/10/2018,"3,8143","3,8836","3,887","3,7935"
07/09/2018,"3,8714","3,865","3,8728","3,8641"
07/06/2018,"3,8624","3,9326","3,9533","3,8593"
07/05/2018,"3,9324","3,9135","3,9421","3,8859"
07/04/2018,"3,9135","3,8947","3,92","3,8858"
07/03/2018,"3,8966","3,9127","3,9145","3,8729"
07/02/2018,"3,9117","3,8781","3,9203","3,875"
06/29/2018,"3,8765","3,8581","3,8803","3,8288"
06/28/2018,"3,8612","3,8612","3,8778","3,8343"
06/27/2018,"3,8625","3,7993","3,8775","3,7909"
06/26/2018,"3,8011","3,7745","3,8032","3,7615"
06/25/2018,"3,7753","3,7877","3,7878","3,761"
06/22/2018,"3,7852","3,7693","3,7892","3,735"
06/21/2018,"3,7676","3,7691","3,8042","3,7527"
06/20/2018,"3,7712","3,7453","3,7873","3,706"
06/19/2018,"3,7461","3,747","3,7856","3,7173"
06/18/2018,"3,746","3,7301","3,7658","3,7275"
06/15/2018,"3,7294","3,8061","3,8063","3,7152"
06/14/2018,"3,8052","3,7206","3,8158","3,6861"
06/13/2018,"3,7195","3,7185","3,7386","3,6846"
06/12/2018,"3,7174","3,707","3,7296","3,6677"
06/11/2018,"3,7087","3,7092","3,7303","3,671"
06/08/2018,"3,7091","3,9031","3,907","3,693"
06/07/2018,"3,9065","3,8488","3,9679","3,8455"
06/06/2018,"3,8477","3,8084","3,8549","3,8039"
06/05/2018,"3,806","3,7452","3,8175","3,7449"
06/04/2018,"3,7462","3,7662","3,767","3,726"
06/01/2018,"3,763","3,7248","3,7707","3,7208"
05/31/2018,"3,7225","3,7242","3,7263","3,7233"
05/30/2018,"3,724","3,7256","3,7681","3,6803"
05/29/2018,"3,7252","3,7355","3,7706","3,712"
05/28/2018,"3,7341","3,6512","3,7458","3,651"
05/25/2018,"3,6514","3,6463","3,6787","3,6419"
05/24/2018,"3,6491","3,6274","3,6565","3,6273"
05/23/2018,"3,6279","3,6448","3,6794","3,616"
05/22/2018,"3,6441","3,677","3,6783","3,6263"
05/21/2018,"3,6769","3,7383","3,7389","3,671"
05/18/2018,"3,736","3,6969","3,7769","3,6938"
05/17/2018,"3,696","3,6745","3,7135","3,6438"
05/16/2018,"3,6754","3,6537","3,6957","3,6527"
05/15/2018,"3,653","3,6237","3,6938","3,622"
05/14/2018,"3,6221","3,5992","3,6409","3,5726"
05/11/2018,"3,5991","3,55","3,6127","3,5434"
05/10/2018,"3,5496","3,5943","3,595","3,5424"
05/09/2018,"3,5918","3,5636","3,6103","3,5589"
05/08/2018,"3,5632","3,5515","3,5943","3,5507"
05/07/2018,"3,5524","3,5307","3,5593","3,5307"
05/04/2018,"3,5291","3,5271","3,5489","3,5134"
05/03/2018,"3,5276","3,5507","3,5676","3,5204"
05/02/2018,"3,5513","3,5074","3,5549","3,5074"
05/01/2018,"3,5071","3,5075","3,5077","3,5072"
04/30/2018,"3,5066","3,4574","3,5092","3,4574"
04/27/2018,"3,4559","3,4756","3,4813","3,4529"
04/26/2018,"3,4745","3,485","3,5084","3,4741"
04/25/2018,"3,4843","3,4738","3,5159","3,471"
04/24/2018,"3,4709","3,4528","3,4814","3,4356"
04/23/2018,"3,4521","3,4137","3,4539","3,4137"
04/20/2018,"3,4124","3,3845","3,4185","3,3839"
04/19/2018,"3,3875","3,3805","3,4102","3,3795"
04/18/2018,"3,3802","3,408","3,4098","3,3732"
04/17/2018,"3,4071","3,4217","3,4218","3,3882"
04/16/2018,"3,4191","3,4255","3,4362","3,4057"
04/13/2018,"3,422","3,4125","3,4309","3,3965"
04/12/2018,"3,4124","3,3747","3,4201","3,3647"
04/11/2018,"3,3734","3,4058","3,424","3,372"
04/10/2018,"3,4087","3,4218","3,4362","3,4005"
04/09/2018,"3,4187","3,369","3,4239","3,3632"
04/06/2018,"3,3689","3,3445","3,3808","3,3417"
04/05/2018,"3,3439","3,3309","3,3497","3,2954"
04/04/2018,"3,329","3,341","3,3685","3,3268"
04/03/2018,"3,3412","3,3109","3,3447","3,3034"
04/02/2018,"3,3099","3,3045","3,3247","3,297"
03/30/2018,"3,3046","3,3043","3,3051","3,3041"
03/29/2018,"3,3054","3,3218","3,3294","3,2926"
03/28/2018,"3,3195","3,3288","3,3467","3,3191"
03/27/2018,"3,3278","3,3119","3,3367","3,3092"
03/26/2018,"3,3113","3,3141","3,3149","3,2926"
03/23/2018,"3,3119","3,3155","3,3194","3,2935"
03/22/2018,"3,3152","3,2728","3,3176","3,2713"
03/21/2018,"3,2717","3,312","3,3125","3,2638"
03/20/2018,"3,3114","3,2857","3,3123","3,2793"
03/19/2018,"3,2853","3,2786","3,2965","3,2786"
03/16/2018,"3,2807","3,2863","3,2997","3,272"
03/15/2018,"3,2849","3,2618","3,2977","3,2602"
03/14/2018,"3,2598","3,261","3,2676","3,2462"
03/13/2018,"3,2602","3,2619","3,2657","3,2374"
03/12/2018,"3,261","3,2553","3,2679","3,2499"
03/09/2018,"3,2548","3,2669","3,271","3,239"
03/08/2018,"3,2664","3,2444","3,2699","3,2392"
03/07/2018,"3,2449","3,2117","3,2488","3,2095"
03/06/2018,"3,2112","3,243","3,2435","3,2057"
03/05/2018,"3,2425","3,2528","3,264","3,2415"
03/02/2018,"3,2523","3,2515","3,2672","3,248"
03/01/2018,"3,2511","3,2462","3,2717","3,2383"
02/28/2018,"3,2458","3,2516","3,2537","3,235"
02/27/2018,"3,2512","3,224","3,2556","3,2219"
02/26/2018,"3,2253","3,2379","3,2427","3,2222"
02/23/2018,"3,2374","3,2502","3,2512","3,2322"
02/22/2018,"3,2497","3,2692","3,2737","3,2419"
02/21/2018,"3,2682","3,2565","3,2727","3,2419"
02/20/2018,"3,2554","3,2339","3,2615","3,2339"
02/19/2018,"3,2339","3,2315","3,2383","3,2218"
