date;price;market_cap;total_volume
24/02/2014;R$ 572,39;R$ 7.120.130.927,00;47229500
25/02/2014;R$ 489,31;R$ 6.088.839.080,00;111102000
26/02/2014;R$ 567,25;R$ 7.061.198.906,00;75039300
27/02/2014;R$ 586,28;R$ 7.300.959.497,00;38219000
28/02/2014;R$ 567,20;R$ 7.065.922.360,00;24649000
01/03/2014;R$ 560,11;R$ 6.979.712.746,00;22903800
02/03/2014;R$ 561,35;R$ 6.997.269.851,00;11143900
03/03/2014;R$ 585,79;R$ 7.304.054.418,00;33049800
04/03/2014;R$ 675,00;R$ 8.418.886.875,00;86124600
05/03/2014;R$ 658,24;R$ 8.212.712.376,00;26946700
06/03/2014;R$ 654,55;R$ 8.169.324.004,00;16659800
07/03/2014;R$ 617,62;R$ 7.711.032.022,00;29823000
08/03/2014;R$ 610,37;R$ 7.623.170.337,00;21353000
09/03/2014;R$ 636,17;R$ 7.947.989.895,00;15489000
10/03/2014;R$ 621,17;R$ 7.763.134.192,00;16425700
11/03/2014;R$ 624,23;R$ 7.803.983.008,00;12542300
12/03/2014;R$ 638,07;R$ 7.979.719.372,00;20806300
13/03/2014;R$ 639,03;R$ 7.994.472.985,00;12866600
14/03/2014;R$ 629,67;R$ 7.879.611.671,00;11939800
15/03/2014;R$ 638,07;R$ 7.987.471.922,00;5963930
16/03/2014;R$ 629,55;R$ 7.883.319.532,00;4834240
17/03/2014;R$ 623,71;R$ 7.812.934.238,00;13371500
18/03/2014;R$ 612,62;R$ 7.676.276.184,00;23217800
19/03/2014;R$ 610,64;R$ 7.653.772.688,00;15227500
20/03/2014;R$ 592,07;R$ 7.423.640.092,00;20048500
21/03/2014;R$ 582,30;R$ 7.303.695.511,00;38053400
22/03/2014;R$ 561,22;R$ 7.041.711.523,00;17983700
23/03/2014;R$ 567,78;R$ 7.127.031.703,00;10283000
24/03/2014;R$ 571,42;R$ 7.175.538.679,00;17185800
25/03/2014;R$ 582,55;R$ 7.317.439.677,00;18634700
26/03/2014;R$ 584,44;R$ 7.343.002.343,00;17583200
27/03/2014;R$ 567,64;R$ 7.133.333.206,00;22316700
28/03/2014;R$ 503,66;R$ 6.331.497.248,00;79571600
29/03/2014;R$ 502,30;R$ 6.317.113.200,00;26810900
30/03/2014;R$ 469,94;R$ 5.912.148.997,00;17867800
31/03/2014;R$ 457,40;R$ 5.756.309.240,00;56838500
01/04/2014;4,787,163;R$ 6.023.351.178,00;35685800
02/04/2014;R$ 437,52;R$ 5.506.313.797,00;49647600
03/04/2014;4,470,822;R$ 5.604.036.051,00;40765500
04/04/2014;4,488,792;R$ 5.641.613.449,00;22925500
05/04/2014;4,648,259;R$ 5.824.866.676,00;13404500
06/04/2014;4,607,028;R$ 5.808.861.023,00;10241400
07/04/2014;R$ 457,79;R$ 5.775.641.210,00;9802770
08/04/2014;4,504,638;R$ 5.718.579.640,00;10921600
09/04/2014;4,401,983;R$ 5.589.580.215,00;13204400
10/04/2014;3,608,407;R$ 4.611.917.257,00;55868300
11/04/2014;4,200,563;R$ 5.318.033.925,00;62562800
12/04/2014;R$ 420,66;R$ 5.321.874.506,00;19226500
13/04/2014;4,149,495;R$ 5.234.667.259,00;22493500
14/04/2014;4,576,338;R$ 5.802.302.128,00;50730200
15/04/2014;5,201,233;R$ 6.522.974.948,00;49561000
16/04/2014;5,291,625;R$ 6.674.473.792,00;56480100
17/04/2014;R$ 494,40;R$ 6.278.792.387,00;34025500
18/04/2014;4,782,312;R$ 6.074.116.360,00;19042400
19/04/2014;5,015,515;R$ 6.353.700.029,00;19588200
20/04/2014;4,973,177;R$ 6.312.896.984,00;12103100
21/04/2014;4,926,733;R$ 6.284.666.435,00;15171400
22/04/2014;4,848,533;R$ 6.187.034.895,00;9,770,190,335,015,280
23/04/2014;R$ 487,53;R$ 6.231.920.621,00;8,412,033,043,193,600
24/04/2014;4,942,733;R$ 6.350.012.525,00;9,512,215,003,743,040
25/04/2014;4,588,067;R$ 5.857.079.867,00;4,406,236,180,745,840
26/04/2014;R$ 453,80;R$ 5.822.776.642,00;11,997,979,867,558,900
27/04/2014;4,379,216;R$ 5.542.720.307,00;9,760,121,834,963,570
28/04/2014;R$ 436,92;R$ 5.593.864.954,00;2,078,168,797,683,260
29/04/2014;R$ 443,27;R$ 5.683.724.524,00;15,011,935,551,518,600
30/04/2014;4,449,968;R$ 5.690.810.165,00;13,054,745,683,608,100
01/05/2014;4,550,913;R$ 5.821.425.472,00;11,953,625,134,976,200
02/05/2014;4,434,734;R$ 5.716.625.927,00;8,165,770,147,874,050
03/05/2014;4,340,333;R$ 5.570.422.954,00;9,446,958,635,517,630
04/05/2014;4,339,432;R$ 5.554.777.406,00;5,229,830,630,972,030
05/05/2014;4,290,761;R$ 5.518.951.942,00;8,567,756,392,353,550
06/05/2014;4,267,634;R$ 5.463.474.513,00;10,822,749,124,633,300
07/05/2014;R$ 439,30;R$ 5.590.798.951,00;16,360,711,036,365,200
08/05/2014;4,373,633;R$ 5.609.810.850,00;8,491,458,546,028,850
09/05/2014;4,474,933;R$ 5.730.133.343,00;8,820,053,293,163,310
10/05/2014;R$ 452,51;R$ 5.795.543.101,00;5,529,665,186,791,250
11/05/2014;4,362,833;R$ 5.598.956.479,00;11,522,907,034,093,800
12/05/2014;R$ 439,19;R$ 5.633.629.021,00;5,903,393,674,349,330
13/05/2014;R$ 437,31;R$ 5.625.308.533,00;5,619,474,108,984,860
14/05/2014;4,442,467;R$ 5.669.111.766,00;676,483,429,138,491
15/05/2014;R$ 444,25;R$ 5.712.906.334,00;621,994,438,500,291
16/05/2014;R$ 445,17;R$ 5.725.217.915,00;5,292,980,730,698,650
17/05/2014;4,458,533;R$ 5.737.967.927,00;26,420,922,130,057,800
18/05/2014;4,442,133;R$ 5.706.165.793,00;7,828,552,781,743,500
19/05/2014;R$ 443,87;R$ 5.706.978.471,00;11,697,296,019,628,400
20/05/2014;4,834,167;R$ 6.214.911.439,00;59,415,447,482,920,200
21/05/2014;4,887,717;R$ 6.294.422.409,00;20,125,942,252,461,000
22/05/2014;5,226,083;R$ 6.716.604.600,00;28,758,404,007,310,200
